zcta5,year,amenity_type_raw,amenity_type,est,emp_1_4,emp_5_9,emp_10_19,emp_20_49,emp_50_99,emp_100_249,emp_250_499,emp_500_999,emp_1000_plus,amenity_employee_bucket_total,amenity_est_bucket_gap,amenity_source_rows
90025,2022,Fitness,fitness,25,7,6,7,4,0,0,0,0,0,24,1,1
90025,2022,Resturants,restaurants,89,23,17,21,25,3,0,0,0,0,89,0,1
90025,2023,Coffee Shops,coffee_shops,32,11,7,12,0,0,0,0,0,0,30,2,1
90025,2023,Fitness,fitness,27,12,3,6,3,3,0,0,0,0,27,0,1
90025,2023,Resturants,restaurants,87,19,18,23,25,0,0,0,0,0,85,2,1
90026,2012,Coffee Shops,coffee_shops,18,10,3,4,1,0,0,0,0,0,18,0,1
90026,2012,Fitness,fitness,3,3,0,0,0,0,0,0,0,0,3,0,1
90026,2012,Resturants,restaurants,43,10,9,13,9,2,0,0,0,0,43,0,1
90026,2013,Coffee Shops,coffee_shops,14,5,4,5,0,0,0,0,0,0,14,0,1
90026,2013,Fitness,fitness,4,2,1,1,0,0,0,0,0,0,4,0,1
90026,2013,Resturants,restaurants,37,9,9,7,9,3,0,0,0,0,37,0,1
90026,2014,Coffee Shops,coffee_shops,19,8,3,8,0,0,0,0,0,0,19,0,1
