zcta5,year,amenity_source_rows,amenity_type_count,amenity_est_total,amenity_employee_bucket_total,amenity_est_bucket_gap,amenities_observed,amenity_est_coffee_shops,amenity_est_fitness,amenity_est_parks,amenity_est_restaurants,amenity_emp_1000_plus,amenity_emp_100_249,amenity_emp_10_19,amenity_emp_1_4,amenity_emp_20_49,amenity_emp_250_499,amenity_emp_500_999,amenity_emp_50_99,amenity_emp_5_9,amenities_population_for_rate,amenity_per_10k_total,amenity_per_10k_bucket_gap,amenity_per_10k_coffee_shops,amenity_per_10k_fitness,amenity_per_10k_parks,amenity_per_10k_restaurants
90003,2017,2,2,9,6,3,True,6,0,0,3,0,0,3,3,0,0,0,0,0,70490.0,1.276776847779827,0.4255922825932757,0.8511845651865514,0.0,0.0,0.4255922825932757
90003,2018,2,2,10,5,5,True,7,0,0,3,0,0,0,5,0,0,0,0,0,72741.0,1.3747405177272791,0.6873702588636396,0.9623183624090953,0.0,0.0,0.41242215531818366
90003,2019,2,2,11,6,5,True,8,0,0,3,0,0,0,6,0,0,0,0,0,73730.0,1.4919300149193002,0.6781500067815001,1.0850400108504001,0.0,0.0,0.4068900040689001
90003,2020,2,2,13,9,4,True,9,0,0,4,0,0,0,6,0,0,0,0,3,74117.0,1.7539835665231998,0.5396872512379076,1.2142963152852921,0.0,0.0,0.5396872512379076
90003,2021,2,2,13,8,5,True,8,0,0,5,0,0,0,5,0,0,0,0,3,75190.0,1.7289533182604069,0.6649820454847719,1.063971272775635,0.0,0.0,0.6649820454847719
90003,2022,2,2,12,7,5,True,6,0,0,6,0,0,0,4,0,0,0,0,3,75024.0,1.599488163787588,0.6664534015781617,0.799744081893794,0.0,0.0,0.799744081893794
90003,2023,2,2,14,10,4,True,6,0,0,8,0,0,0,7,0,0,0,0,3,71708.0,1.952362358453729,0.5578178167010654,0.8367267250515982,0.0,0.0,1.115635633402131
90004,2012,3,3,76,76,0,True,16,6,0,54,0,0,14,37,11,0,0,3,11,62884.0,12.085745181604224,0.0,2.544367406653521,0.9541377774950702,0.0,8.587239997455633
90004,2013,3,3,76,76,0,True,15,5,0,56,0,0,20,32,8,0,0,2,14,62760.0,12.109623964308478,0.0,2.390057361376673,0.7966857871255576,0.0,8.922880815806247
90004,2014,3,3,74,74,0,True,17,6,0,51,0,1,19,29,11,0,0,0,14,63547.0,11.64492422931059,0.0,2.6751852959227027,0.9441830456197775,0.0,8.025555887768109
90004,2015,3,3,83,83,0,True,17,7,0,59,0,0,18,31,13,0,0,2,19,64008.0,12.967129108861393,0.0,2.655918010248719,1.0936132983377078,0.0,9.217597800274966
90004,2016,3,3,81,81,0,True,19,4,0,58,0,0,20,27,17,0,0,3,14,63095.0,12.837784293525637,0.0,3.0113321182344084,0.6339646564704018,0.0,9.192487518820826
90004,2017,3,3,79,77,2,True,17,4,0,58,0,0,20,27,14,0,0,3,13,62733.0,12.593053098050467,0.31881147083672073,2.7098975021121263,0.6376229416734415,0.0,9.2455326542649
90004,2018,3,3,90,83,7,True,22,4,0,64,0,0,23,29,13,0,0,3,15,61586.0,14.61371090832332,1.1366219595362583,3.5722404442568116,0.6494982625921475,0.0,10.39197220147436
90004,2019,3,3,96,94,2,True,25,5,0,66,0,0,25,35,13,0,0,4,17,60541.0,15.857022513668422,0.3303546357014255,4.129432946267818,0.8258865892535636,0.0,10.90170297814704
90004,2020,3,3,92,86,6,True,21,5,0,66,0,0,19,30,16,0,0,0,21,61105.0,15.05605105965142,0.9819163734555274,3.436707307094346,0.8182636445462729,0.0,10.801080108010801
90004,2021,3,3,91,87,4,True,23,5,0,63,0,0,19,39,4,0,0,0,25,59621.0,15.263078445514164,0.6709045470555677,3.857701145569514,0.8386306838194596,0.0,10.566746616125192
90004,2022,3,3,93,89,4,True,27,4,0,62,0,0,21,26,14,0,0,3,25,58833.0,15.80745499974504,0.6798905376234425,4.5892611289582375,0.6798905376234425,0.0,10.53830333316336
90004,2023,3,3,94,89,5,True,28,4,0,62,0,0,25,27,16,0,0,0,21,58844.0,15.974440894568689,0.8497043029025898,4.758344096254503,0.679763442322072,0.0,10.536333355992115
90005,2012,3,3,92,92,0,True,17,2,0,73,0,0,19,50,7,0,0,1,15,39592.0,23.23701757930895,0.0,4.293796726611436,0.5051525560719337,0.0,18.43806829662558
90005,2013,3,3,95,95,0,True,15,1,0,79,0,0,17,46,11,0,0,1,20,39548.0,24.021442297967027,0.0,3.79285931020532,0.25285728734702134,0.0,19.975725700414685
90005,2014,3,3,92,92,0,True,17,1,0,74,0,0,18,43,12,0,0,1,18,38638.0,23.810756250323518,0.0,4.3998136549510845,0.2588125679382991,0.0,19.152130027434133
