model,feature,source_group,max_abs_coefficient,sum_abs_coefficient,coefficient_terms
ridge_linear_regression,annual_sold_above_list,listings,0.032492600958903495,0.032492600958903495,1
ridge_linear_regression,foreign_born_25plus_bachelors_or_higher_share,demographics,0.031055082290549763,0.031055082290549763,1
ridge_linear_regression,minimum_wage_imputed,minimum_wage,0.03078868024658732,0.03078868024658732,1
ridge_linear_regression,crime_violent_est_per_1k,crime,0.02969591089276946,0.02969591089276946,1
ridge_linear_regression,log_total_population,demographics,0.027891742320207413,0.027891742320207413,1
ridge_linear_regression,annual_homes_sold,listings,0.026733369770454374,0.026733369770454374,1
ridge_linear_regression,avg_pct_met_overall_z_assessment_year,school_quality,0.025560133404724183,0.025560133404724183,1
ridge_linear_regression,hispanic_or_latino_total_share,other,0.023533106453214714,0.023533106453214714,1
ridge_linear_regression,zcta_county_assignment_quality,minimum_wage,0.02335565262092132,0.03491610278342705,2
ridge_linear_regression,education_less_than_high_school_share,demographics,0.022414758264858392,0.022414758264858392,1
ridge_linear_regression,annual_avg_sale_to_list,listings,0.02128315633672173,0.02128315633672173,1
ridge_linear_regression,education_some_college_or_associates_share,demographics,0.020318367667641724,0.020318367667641724,1
ridge_linear_regression,age_45_64_share,demographics,0.02028873987183033,0.02028873987183033,1
ridge_linear_regression,minimum_wage_for_model_annual_avg,minimum_wage,0.020244256240403047,0.020244256240403047,1
ridge_linear_regression,foreign_born_noncitizen_share_of_foreign_born,demographics,0.01876000778793241,0.01876000778793241,1
ridge_linear_regression,race_some_other_race_alone_share,demographics,0.017247753746232775,0.017247753746232775,1
ridge_linear_regression,age_35_44_share,demographics,0.016656616217460396,0.016656616217460396,1
ridge_linear_regression,annual_inventory_mean,listings,0.015580692523826656,0.015580692523826656,1
ridge_linear_regression,full_year_coverage,listings,0.013764957581315684,0.013764957581315684,1
ridge_linear_regression,age_25_34_share,demographics,0.013410189841806641,0.013410189841806641,1
ridge_linear_regression,amenity_type_count,amenities,0.008545301274352823,0.008545301274352823,1
ridge_linear_regression,race_black_alone_share,demographics,0.007886539580795215,0.007886539580795215,1
ridge_linear_regression,amenity_per_10k_restaurants,amenities,0.007688384076573129,0.007688384076573129,1
