model,train_rows_mean,train_rows_std,validation_rows_mean,validation_rows_std,ridge_alpha_mean,ridge_alpha_std,mae_dollars_mean,mae_dollars_std,rmse_dollars_mean,rmse_dollars_std,r2_dollars_mean,r2_dollars_std,mae_log_change_mean,mae_log_change_std,rmse_log_change_mean,rmse_log_change_std,r2_log_change_mean,r2_log_change_std,mae_growth_pct_points_mean,mae_growth_pct_points_std,rmse_growth_pct_points_mean,rmse_growth_pct_points_std,r2_growth_pct_mean,r2_growth_pct_std
ols_linear_regression,8480.5,2171.516681952962,1156.6666666666667,12.675435561221015,,,76418.83061272168,25452.946083080846,135083.8012286971,34552.099127518,0.9426034127411694,0.02685711096792396,0.09717642795574888,0.030141758095211357,0.1260689354468014,0.026239981353650438,-0.8197748630530292,0.6409966376548194,10.334461205098897,3.3440605581807645,13.414913177455018,2.863380406300959,-0.8524374611441377,0.6279841136142473
ridge_linear_regression,8480.5,2171.516681952962,1156.6666666666667,12.675435561221015,88.83428376330365,82.04296753962039,71773.7610688581,26846.074821946993,129336.73799711424,32870.681113927356,0.947944356238661,0.023680689488294573,0.09009143525016322,0.030547148904837573,0.12115148594124947,0.024072851051895917,-0.6962110448546244,0.6268940175937745,9.635453944580467,3.4047850968202225,12.872095195837586,2.7563108189710395,-0.7157514870712541,0.6175295168321757
