model,transformed_feature,coefficient,abs_coefficient,feature,source_group
ridge_linear_regression,"categorical__parent_metro_region_El Centro, CA",-0.4231760033169394,0.4231760033169394,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Bakersfield, CA",-0.38722424956159784,0.38722424956159784,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Fresno, CA",-0.3789708154672553,0.3789708154672553,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Merced, CA",-0.3498399949966142,0.3498399949966142,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Clearlake, CA",-0.31683841008873515,0.31683841008873515,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Visalia, CA",-0.29115201519925904,0.29115201519925904,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Chico, CA",-0.2890810265130028,0.2890810265130028,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Red Bluff, CA",-0.24585843836894128,0.24585843836894128,parent_metro_region,listings
ridge_linear_regression,numeric__annual_median_sale_price,0.2337124970581499,0.2337124970581499,annual_median_sale_price,listings
ridge_linear_regression,"categorical__parent_metro_region_Madera, CA",-0.22936458185716901,0.22936458185716901,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Riverside, CA",-0.22482712502119284,0.22482712502119284,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Modesto, CA",-0.2205522704653049,0.2205522704653049,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Sonora, CA",-0.21096455886930698,0.21096455886930698,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Redding, CA",-0.20364670779304106,0.20364670779304106,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Stockton, CA",-0.15902903492332143,0.15902903492332143,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Sacramento, CA",-0.15725547408828788,0.15725547408828788,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Ukiah, CA",0.14201767371815777,0.14201767371815777,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Vallejo, CA",-0.14084422914629613,0.14084422914629613,parent_metro_region,listings
ridge_linear_regression,numeric__log_median_household_income,0.11666982414863014,0.11666982414863014,log_median_household_income,demographics
ridge_linear_regression,boolean__median_household_income_missing_True,-0.10220636079105816,0.10220636079105816,median_household_income_missing,demographics
ridge_linear_regression,numeric__annual_median_ppsf,0.09870200636214577,0.09870200636214577,annual_median_ppsf,listings
ridge_linear_regression,"categorical__parent_metro_region_Yuba City, CA",-0.09654743954465062,0.09654743954465062,parent_metro_region,listings
ridge_linear_regression,numeric__born_other_state_25plus_bachelors_or_higher_share,0.08393701610111748,0.08393701610111748,born_other_state_25plus_bachelors_or_higher_share,demographics
ridge_linear_regression,numeric__education_bachelors_or_higher_share,0.07383757087882259,0.07383757087882259,education_bachelors_or_higher_share,demographics
ridge_linear_regression,boolean__foreign_born_noncitizen_derived_True,-0.06559754229738246,0.06559754229738246,foreign_born_noncitizen_derived,demographics
