model,sample,evaluation,rows,rmse_log,mae_log,r2,rmse_pct_approx,mae_pct_approx
Model 1,Full baseline sample,Temporal validation,2984,0.09403708859613064,0.06882514549083826,-0.09717976407641316,9.403708859613063,6.882514549083826
Model 1,Full baseline sample,Grouped-ZCTA test,2341,0.0895646600387616,0.058304465575333246,0.20144187618322762,8.956466003876159,5.830446557533325
Model 1,Matched school sample,Temporal validation,2523,0.08677780570163057,0.0606954042075263,-0.054343433683063935,8.677780570163057,6.06954042075263
Model 1,Matched school sample,Grouped-ZCTA test,2057,0.08363216507072496,0.05445392818065574,0.22424534051991807,8.363216507072496,5.4453928180655735
Model 2,Matched school sample,Temporal validation,2523,0.08466811298146086,0.058642512038171286,-0.0037014015313552306,8.466811298146085,5.864251203817129
Model 2,Matched school sample,Grouped-ZCTA test,2057,0.08172665689518797,0.05249590960670006,0.2591928232554491,8.172665689518798,5.249590960670006
