fold,validation_year,train_rows,validation_rows,mae_dollars,rmse_dollars,r2_dollars,mae_log,rmse_log,r2_log
1,2017,5590,1146,70234.00664657232,189653.61779295647,0.8708849113187083,0.0863026525374124,0.12850825237913724,0.9610558341381078
2,2018,6736,1155,55813.26766050201,144776.28624613714,0.9221420930567971,0.0749334013419548,0.11707157922231773,0.9665226899784752
3,2019,7891,1159,75332.75169598917,164659.44642880073,0.9040701369384849,0.09355105651640636,0.13136708825622764,0.955017438768959
4,2020,9050,1178,146360.49572058904,282778.692931929,0.7941968291029871,0.15773869941919005,0.19447821329925918,0.8961360862499452
5,2021,10228,1160,113350.01163054757,253978.89816233597,0.8410967255631201,0.10323703898543245,0.1483727614329401,0.9395618529900874
6,2022,11388,1142,96997.96383729507,224181.21451830308,0.8734302237986472,0.10290684269259395,0.14061752388561016,0.9431604361806799
