source_group,importance_sum_log_mae,importance_mean_log_mae,features
listings,0.002075192775818721,0.00017293273131822675,12
other,0.00018667786323646463,0.00018667786323646463,1
minimum_wage,-1.6983937808642825e-05,-5.6613126028809415e-06,3
crime,-0.0002075541873346909,-0.00010377709366734545,2
amenities,-0.00039924980534746803,-7.98499610694936e-05,5
school_quality,-0.0010608991161776744,-0.00017681651936294574,6
demographics,-0.0015016884667021946,-6.006753866808778e-05,25
