metric,mean,std
train_rows,8480.5,2171.516681952962
validation_rows,1156.6666666666667,12.67543556122103
mae_dollars,64723.52354419485,19117.119918348748
rmse_dollars,116154.42537526677,15318.050742504447
r2_dollars,0.9589498373552544,0.009988338942710503
mae_log_change,0.0798060707264422,0.018078915098249302
rmse_log_change,0.11258386085533735,0.011683768132559266
r2_log_change,-0.4545252078151722,0.3633973201557935
mae_growth_pct_points,8.568383808779302,2.063907650749031
rmse_growth_pct_points,11.888576858404422,1.5957809803739662
r2_growth_pct,-0.44906975032784596,0.3587234115072844
