fold,validation_year,train_rows,validation_rows,mae_dollars,rmse_dollars,r2_dollars,mae_log_change,rmse_log_change,r2_log_change,mae_growth_pct_points,rmse_growth_pct_points,r2_growth_pct
1,2017,5590,1146,36842.30519729173,96024.57838269383,0.966900643345861,0.05026906231526737,0.09308917681602302,0.09303337257455313,5.308381941981718,9.157084055599887,0.11438663424687434
2,2018,6736,1155,52123.96310920346,94951.15987965108,0.9665105196467423,0.06818152535171973,0.09809488697423914,-0.29276269114268905,7.1216950272303805,10.977639750977069,-0.20171198326386341
3,2019,7891,1159,55256.55779686516,123787.42956591156,0.9457832335266138,0.07751469750494969,0.12124503707936282,-0.15743437433686314,8.264015382629749,12.021178839737619,-0.273409818495006
4,2020,9050,1178,77643.65819098252,126557.43986204668,0.958777525492354,0.09376632449913118,0.11728909692173003,-0.5897067704487549,10.776814639071548,13.836400976191227,-0.6031720873079784
5,2021,10228,1160,76276.04865658595,113943.4736816086,0.9680171996144463,0.08662704827486054,0.11328964383728528,-0.5265299550240781,9.500463290054006,12.002901048263608,-0.547177988649548
6,2022,11388,1142,86696.79778230861,125197.42120751724,0.9605249813576585,0.09753678291667271,0.11894737896697279,-0.9183266680738267,9.93325944222182,12.012122198806592,-0.8792818882783744
