source_group,importance_sum_log_mae,importance_mean_log_mae,features
listings,0.5190618655030225,0.04325515545858521,12
demographics,0.016147096757130316,0.0006458838702852127,25
crime,0.0013756244819840946,0.0006878122409920473,2
other,0.00013282587128763957,0.00013282587128763957,1
school_quality,2.1832826484557988e-05,3.6388044140929978e-06,6
minimum_wage,3.259420813914171e-06,1.086473604638057e-06,3
amenities,-0.00014851846453144135,-2.9703692906288272e-05,5
