metric,mean,std
train_rows,8480.5,2171.516681952962
validation_rows,1156.6666666666667,12.67543556122103
mae_dollars,64139.88845553956,19010.031126384023
rmse_dollars,113410.25042990485,14579.134235185533
r2_dollars,0.9610856838306127,0.00837968348258431
mae_log_change,0.0789825734771002,0.017689200099832762
rmse_log_change,0.11032587009926885,0.011811262835037787
r2_log_change,-0.39862118107527644,0.3561093781117788
mae_growth_pct_points,8.48410495386487,2.018879272025427
rmse_growth_pct_points,11.667887811596001,1.5387379870518119
r2_growth_pct,-0.3983945219579826,0.3500207826983068
