feature,feature_kind,source_group,missing_rate,n_unique,selected,exclusion_reason,preprocessing_kind
amenity_est_total,numeric,amenities,0.110769681006731,219,False,amenity_raw_count_or_employee_bucket_duplicate_of_per_capita_density,numeric
amenity_per_10k_bucket_gap,numeric,amenities,0.1120866256950541,6621,False,processing_artifact_or_duplicate_source_field,numeric
amenity_per_10k_total,numeric,amenities,0.1120866256950541,11922,False,amenity_raw_count_or_employee_bucket_duplicate_of_per_capita_density,numeric
amenity_source_rows,numeric,amenities,0.110769681006731,4,False,amenity_raw_count_or_employee_bucket_duplicate_of_per_capita_density,numeric
crime_aggravated_assault_est,numeric,crime,0.0019754170324846,495,False,crime_restricted_to_violent_and_property_rates,numeric
crime_aggravated_assault_est_per_1k,numeric,crime,0.0029997073456248,13019,False,crime_restricted_to_violent_and_property_rates,numeric
crime_allocation_ratio_sum,numeric,crime,0.0019754170324846,13621,False,crime_restricted_to_violent_and_property_rates,numeric
crime_burglary_est,numeric,crime,0.0019754170324846,759,False,crime_restricted_to_violent_and_property_rates,numeric
crime_burglary_est_per_1k,numeric,crime,0.0029997073456248,13138,False,crime_restricted_to_violent_and_property_rates,numeric
crime_counties,categorical,crime,0.0019754170324846,116,False,crime_restricted_to_violent_and_property_rates,categorical
crime_county_count,numeric,crime,0.0019754170324846,3,False,crime_restricted_to_violent_and_property_rates,numeric
crime_has_zero_or_missing_population,categorical,crime,0.0019754170324846,2,False,crime_restricted_to_violent_and_property_rates,boolean
crime_homicide_est,numeric,crime,0.0019754170324846,17,False,crime_restricted_to_violent_and_property_rates,numeric
crime_homicide_est_per_1k,numeric,crime,0.0029997073456248,9084,False,crime_restricted_to_violent_and_property_rates,numeric
crime_index_est,numeric,crime,0.0019754170324846,2851,False,crime_restricted_to_violent_and_property_rates,numeric
crime_index_est_per_1k,numeric,crime,0.0029997073456248,13427,False,crime_restricted_to_violent_and_property_rates,numeric
crime_larceny_theft_est,numeric,crime,0.0019754170324846,1814,False,crime_restricted_to_violent_and_property_rates,numeric
crime_larceny_theft_est_per_1k,numeric,crime,0.0029997073456248,13269,False,crime_restricted_to_violent_and_property_rates,numeric
crime_multi_county_zcta,categorical,crime,0.0019754170324846,2,False,crime_restricted_to_violent_and_property_rates,boolean
crime_observed,categorical,crime,0.0019754170324846,1,False,crime_restricted_to_violent_and_property_rates,boolean
crime_population_for_rate,numeric,crime,0.0019754170324846,12232,False,crime_restricted_to_violent_and_property_rates,numeric
crime_property_est,numeric,crime,0.0019754170324846,2530,False,crime_restricted_to_violent_and_property_rates,numeric
crime_rape_est,numeric,crime,0.0019754170324846,93,False,crime_restricted_to_violent_and_property_rates,numeric
crime_rape_est_per_1k,numeric,crime,0.0029997073456248,12032,False,crime_restricted_to_violent_and_property_rates,numeric
crime_robbery_est,numeric,crime,0.0019754170324846,292,False,crime_restricted_to_violent_and_property_rates,numeric
crime_robbery_est_per_1k,numeric,crime,0.0029997073456248,12638,False,crime_restricted_to_violent_and_property_rates,numeric
crime_source_rows,numeric,crime,0.0019754170324846,3,False,crime_restricted_to_violent_and_property_rates,numeric
crime_source_total_double_counted_sum,numeric,crime,0.0019754170324846,4585,False,crime_restricted_to_violent_and_property_rates,numeric
crime_vehicle_theft_est,numeric,crime,0.0019754170324846,729,False,crime_restricted_to_violent_and_property_rates,numeric
crime_vehicle_theft_est_per_1k,numeric,crime,0.0029997073456248,13123,False,crime_restricted_to_violent_and_property_rates,numeric
crime_violent_est,numeric,crime,0.0019754170324846,718,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_aggravated_assault_est,numeric,crime,0.0019754170324846,495,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_burglary_est,numeric,crime,0.0019754170324846,759,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_homicide_est,numeric,crime,0.0019754170324846,17,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_index_est,numeric,crime,0.0019754170324846,2851,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_larceny_theft_est,numeric,crime,0.0019754170324846,1814,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_property_est,numeric,crime,0.0019754170324846,2530,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_rape_est,numeric,crime,0.0019754170324846,93,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_robbery_est,numeric,crime,0.0019754170324846,292,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_vehicle_theft_est,numeric,crime,0.0019754170324846,729,False,crime_restricted_to_violent_and_property_rates,numeric
log1p_crime_violent_est,numeric,crime,0.0019754170324846,718,False,crime_restricted_to_violent_and_property_rates,numeric
property_component_rounding_gap,numeric,crime,0.0019754170324846,6,False,crime_restricted_to_violent_and_property_rates,numeric
violent_component_rounding_gap,numeric,crime,0.0019754170324846,6,False,crime_restricted_to_violent_and_property_rates,numeric
age_0_17_count,numeric,demographics,0.0029997073456248,9048,False,count_duplicate_of_share_or_log_population_feature,numeric
age_18_24_count,numeric,demographics,0.0029997073456248,6115,False,count_duplicate_of_share_or_log_population_feature,numeric
age_25_34_count,numeric,demographics,0.0029997073456248,7546,False,count_duplicate_of_share_or_log_population_feature,numeric
age_35_44_count,numeric,demographics,0.0029997073456248,7272,False,count_duplicate_of_share_or_log_population_feature,numeric
age_45_64_count,numeric,demographics,0.0029997073456248,9220,False,count_duplicate_of_share_or_log_population_feature,numeric
age_65_plus_count,numeric,demographics,0.0029997073456248,7105,False,count_duplicate_of_share_or_log_population_feature,numeric
age_65_plus_share,numeric,demographics,0.0029997073456248,13581,False,reference_category_for_age_share_composition,numeric
born_other_state_25plus_bachelors_or_higher_count,numeric,demographics,0.0029997073456248,4984,False,count_duplicate_of_share_or_log_population_feature,numeric
born_other_state_25plus_share,numeric,demographics,0.0029997073456248,13575,False,highly_collinear_with_native_born_other_state_us_share,numeric
education_25plus_total,numeric,demographics,0.0029997073456248,11624,False,count_duplicate_of_share_or_log_population_feature,numeric
education_bachelors_count,numeric,demographics,0.0029997073456248,7340,False,count_duplicate_of_share_or_log_population_feature,numeric
education_bachelors_or_higher_count,numeric,demographics,0.0029997073456248,8777,False,count_duplicate_of_share_or_log_population_feature,numeric
education_bachelors_share,numeric,demographics,0.0029997073456248,13564,False,nested_in_education_bachelors_or_higher_share,numeric
education_graduate_degree_count,numeric,demographics,0.0029997073456248,5728,False,count_duplicate_of_share_or_log_population_feature,numeric
education_graduate_degree_share,numeric,demographics,0.0029997073456248,13508,False,nested_in_education_bachelors_or_higher_share,numeric
education_high_school_or_ged_count,numeric,demographics,0.0029997073456248,7366,False,count_duplicate_of_share_or_log_population_feature,numeric
education_high_school_or_ged_share,numeric,demographics,0.0029997073456248,13552,False,reference_category_for_education_share_composition,numeric
education_less_than_high_school_count,numeric,demographics,0.0029997073456248,6491,False,count_duplicate_of_share_or_log_population_feature,numeric
education_some_college_or_associates_count,numeric,demographics,0.0029997073456248,8534,False,count_duplicate_of_share_or_log_population_feature,numeric
female_share,numeric,demographics,0.0029997073456248,13577,False,exact_complement_of_male_share,numeric
foreign_born_25plus_bachelors_or_higher_count,numeric,demographics,0.0029997073456248,5053,False,count_duplicate_of_share_or_log_population_feature,numeric
foreign_born_25plus_share,numeric,demographics,0.0029997073456248,13493,False,highly_collinear_with_foreign_born_total_share,numeric
foreign_born_naturalized_share,numeric,demographics,0.0029997073456248,13406,False,nested_in_foreign_born_total_share,numeric
foreign_born_naturalized_share_of_foreign_born,numeric,demographics,0.0092917764120573,12913,False,exact_complement_of_foreign_born_noncitizen_share_of_foreign_born,numeric
foreign_born_noncitizen_share,numeric,demographics,0.0029997073456248,13347,False,nested_in_foreign_born_total_share,numeric
foreign_born_total,numeric,demographics,0.0029997073456248,9191,False,count_duplicate_of_share_or_log_population_feature,numeric
median_household_income,numeric,demographics,0.0088527948492829,12426,False,raw_duplicate_of_log_median_household_income,numeric
native_born_in_state_share,numeric,demographics,0.0029997073456248,13600,False,reference_category_for_nativity_composition,numeric
race_white_alone_share,numeric,demographics,0.0029997073456248,13536,False,reference_category_for_race_share_composition,numeric
total_population,numeric,demographics,0.0029997073456248,12231,False,raw_duplicate_of_log_total_population,numeric
phase2_has_amenities,boolean,feature_availability,0.0,2,False,feature_availability_flag_not_substantive_predictor,boolean
phase2_has_crime,boolean,feature_availability,0.0,2,False,feature_availability_flag_not_substantive_predictor,boolean
phase2_has_demographics,boolean,feature_availability,0.0,2,False,feature_availability_flag_not_substantive_predictor,boolean
phase2_has_school_quality,boolean,feature_availability,0.0,2,False,feature_availability_flag_not_substantive_predictor,boolean
annual_inventory_end,numeric,listings,0.0,341,False,highly_collinear_with_annual_inventory_mean,numeric
annual_median_list_ppsf,numeric,listings,0.0006584723441615,13659,False,highly_collinear_with_annual_median_ppsf,numeric
annual_median_list_price,numeric,listings,0.0006584723441615,13656,False,highly_collinear_with_annual_median_sale_price,numeric
annual_new_listings,numeric,listings,0.0006584723441615,2874,False,highly_collinear_with_annual_homes_sold,numeric
annual_pending_sales,numeric,listings,0.0001463271875914,2813,False,highly_collinear_with_annual_homes_sold,numeric
first_month,numeric,listings,0.0,7,False,coverage_artifact,numeric
last_month,numeric,listings,0.0,9,False,coverage_artifact,numeric
months_with_homes_sold,numeric,listings,0.0,12,False,exact_duplicate_of_months_observed_in_training_window,numeric
months_with_inventory,numeric,listings,0.0,12,False,exact_duplicate_of_months_observed_in_training_window,numeric
months_with_median_list_price,numeric,listings,0.0,13,False,near_duplicate_of_months_with_new_listings,numeric
months_with_median_sale_price,numeric,listings,0.0,12,False,exact_duplicate_of_months_observed_in_training_window,numeric
months_with_new_listings,numeric,listings,0.0,13,False,near_duplicate_of_months_with_median_list_price,numeric
months_with_pending_sales,numeric,listings,0.0,13,False,coverage_artifact,numeric
any_county_ordinance_above_state,boolean,minimum_wage,0.0,1,False,constant_or_duplicate_minimum_wage_signal_in_train_test_window,boolean
any_county_ordinance_record,boolean,minimum_wage,0.0,2,False,constant_or_duplicate_minimum_wage_signal_in_train_test_window,boolean
dominant_county,categorical,minimum_wage,0.0,46,False,geographic_duplicate_of_parent_metro_region,categorical
dominant_county_fips,numeric,minimum_wage,0.0,46,False,processing_artifact_or_duplicate_source_field,numeric
dominant_county_ordinance_above_state,boolean,minimum_wage,0.0,1,False,constant_or_duplicate_minimum_wage_signal_in_train_test_window,boolean
dominant_county_ordinance_record,boolean,minimum_wage,0.0,2,False,constant_or_duplicate_minimum_wage_signal_in_train_test_window,boolean
dominant_county_share,numeric,minimum_wage,0.0,142,False,processing_artifact_or_duplicate_source_field,numeric
minimum_wage_area_weighted_diff_annual_avg,numeric,minimum_wage,0.0,4,False,processing_artifact_or_duplicate_source_field,numeric
