feature,feature_kind,source_group,missing_rate,n_unique
foreign_born_naturalized_share_of_foreign_born,numeric,demographics,0.00929177641205736,12913
foreign_born_noncitizen_derived,categorical,demographics,0.0029997073456248173,2
foreign_born_noncitizen_share,numeric,demographics,0.0029997073456248173,13347
foreign_born_noncitizen_share_of_foreign_born,numeric,demographics,0.00929177641205736,12913
foreign_born_total,numeric,demographics,0.0029997073456248173,9191
foreign_born_total_share,numeric,demographics,0.0029997073456248173,13524
log_median_household_income,numeric,demographics,0.008852794849282997,12426
log_total_population,numeric,demographics,0.0029997073456248173,12231
male_share,numeric,demographics,0.0029997073456248173,13577
median_household_income,numeric,demographics,0.008852794849282997,12426
median_household_income_missing,categorical,demographics,0.0029997073456248173,2
native_born_in_state_share,numeric,demographics,0.0029997073456248173,13600
native_born_other_state_us_share,numeric,demographics,0.0029997073456248173,13592
race_american_indian_or_alaska_native_alone_share,numeric,demographics,0.0029997073456248173,12367
race_asian_alone_share,numeric,demographics,0.0029997073456248173,13033
race_black_alone_share,numeric,demographics,0.0029997073456248173,12575
race_native_hawaiian_or_pacific_islander_alone_share,numeric,demographics,0.0029997073456248173,9833
race_some_other_race_alone_share,numeric,demographics,0.0029997073456248173,13173
race_two_or_more_share,numeric,demographics,0.0029997073456248173,13353
race_white_alone_share,numeric,demographics,0.0029997073456248173,13536
total_population,numeric,demographics,0.0029997073456248173,12231
phase2_has_amenities,boolean,feature_availability,0.0,2
phase2_has_crime,boolean,feature_availability,0.0,2
phase2_has_demographics,boolean,feature_availability,0.0,2
phase2_has_school_quality,boolean,feature_availability,0.0,2
annual_avg_sale_to_list,numeric,listings,0.0,13668
annual_homes_sold,numeric,listings,0.0,2606
annual_inventory_end,numeric,listings,0.0,341
annual_inventory_mean,numeric,listings,0.0,3234
annual_median_dom,numeric,listings,0.001755926251097454,13612
annual_median_list_ppsf,numeric,listings,0.0006584723441615452,13659
annual_median_list_price,numeric,listings,0.0006584723441615452,13656
annual_median_ppsf,numeric,listings,7.316359379572725e-05,13667
annual_median_sale_price,numeric,listings,0.0,13662
annual_months_of_supply_est,numeric,listings,0.0,12986
annual_new_listings,numeric,listings,0.0006584723441615452,2874
annual_off_market_in_two_weeks,numeric,listings,0.0001463271875914545,13054
annual_pending_sales,numeric,listings,0.0001463271875914545,2813
annual_sold_above_list,numeric,listings,0.0,13411
first_month,numeric,listings,0.0,7
full_year_coverage,boolean,listings,0.0,2
last_month,numeric,listings,0.0,9
months_observed,numeric,listings,0.0,12
months_with_homes_sold,numeric,listings,0.0,12
months_with_inventory,numeric,listings,0.0,12
months_with_median_list_price,numeric,listings,0.0,13
months_with_median_sale_price,numeric,listings,0.0,12
months_with_new_listings,numeric,listings,0.0,13
months_with_pending_sales,numeric,listings,0.0,13
parent_metro_region,categorical,listings,0.0,37
any_county_ordinance_above_state,boolean,minimum_wage,0.0,1
any_county_ordinance_record,boolean,minimum_wage,0.0,2
dominant_county,categorical,minimum_wage,0.0,46
dominant_county_fips,numeric,minimum_wage,0.0,46
dominant_county_ordinance_above_state,boolean,minimum_wage,0.0,1
dominant_county_ordinance_record,boolean,minimum_wage,0.0,2
dominant_county_share,numeric,minimum_wage,0.0,142
minimum_wage_area_weighted_diff_annual_avg,numeric,minimum_wage,0.0,4
minimum_wage_county_area_weighted_annual_avg,numeric,minimum_wage,0.0,32
minimum_wage_county_area_weighted_year_start,numeric,minimum_wage,0.0,29
minimum_wage_dominant_county_annual_avg,numeric,minimum_wage,0.0,11
minimum_wage_dominant_county_geo_level,categorical,minimum_wage,0.0,1
minimum_wage_dominant_county_year_start,numeric,minimum_wage,0.0,10
minimum_wage_feature_method,categorical,minimum_wage,0.0,1
minimum_wage_for_model_annual_avg,numeric,minimum_wage,0.0,11
minimum_wage_for_model_year_start,numeric,minimum_wage,0.0,10
minimum_wage_imputed,boolean,minimum_wage,0.0,2
minimum_wage_local_premium_for_model_annual_avg,numeric,minimum_wage,0.0,1
phase2_has_minimum_wage,boolean,minimum_wage,0.0,1
state_minimum_wage_annual_avg,numeric,minimum_wage,0.0,11
state_minimum_wage_source,categorical,minimum_wage,0.0,2
state_minimum_wage_year_start,numeric,minimum_wage,0.0,10
zcta_county_area_share,numeric,minimum_wage,0.0,142
zcta_county_assignment_quality,categorical,minimum_wage,0.0,3
zcta_county_count,numeric,minimum_wage,0.0,4
hispanic_or_latino_total_share,numeric,other,0.0029997073456248173,13521
assessment_type,categorical,school_quality,0.11450102429031314,3
avg_pct_met_ela,numeric,school_quality,0.11552531460345332,4165
avg_pct_met_ela_pct_assessment_year,numeric,school_quality,0.11552531460345332,9229
avg_pct_met_ela_z_assessment_year,numeric,school_quality,0.11552531460345332,9830
avg_pct_met_math,numeric,school_quality,0.11779338601112087,4749
avg_pct_met_math_pct_assessment_year,numeric,school_quality,0.11779338601112087,9216
avg_pct_met_math_z_assessment_year,numeric,school_quality,0.11779338601112087,9979
avg_pct_met_overall,numeric,school_quality,0.11450102429031314,4365
avg_pct_met_overall_pct_assessment_year,numeric,school_quality,0.11450102429031314,9483
avg_pct_met_overall_z_assessment_year,numeric,school_quality,0.11450102429031314,10122
is_caaspp,categorical,school_quality,0.11450102429031314,2
is_cst,categorical,school_quality,0.11450102429031314,2
log1p_n_schools,numeric,school_quality,0.11450102429031314,34
max_pct_met_overall,numeric,school_quality,0.11450102429031314,4507
median_pct_met_overall,numeric,school_quality,0.11450102429031314,4269
median_pct_met_overall_pct_assessment_year,numeric,school_quality,0.11450102429031314,8889
median_pct_met_overall_z_assessment_year,numeric,school_quality,0.11450102429031314,9058
min_pct_met_overall,numeric,school_quality,0.11450102429031314,4805
n_schools,numeric,school_quality,0.11450102429031314,34
overall_score_range,numeric,school_quality,0.11450102429031314,6204
school_quality_extended_eligible,categorical,school_quality,0.11450102429031314,1
school_year_complete,categorical,school_quality,0.11450102429031314,2
total_students_tested_reported_positive,categorical,school_quality,0.11450102429031314,2
total_students_tested_unreliable,categorical,school_quality,0.11450102429031314,2
year,numeric,time,0.0,12
